icon,datetime,temp,windspeed,preciptype,description
partly-cloudy-day,2015-08-01,28.2,15.9,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-02,27.3,22.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-03,27.9,24.8,--,Partly cloudy throughout the day.
rain,2015-08-04,29.3,22.6,rain,Partly cloudy throughout the day with late afternoon rain.
partly-cloudy-day,2015-08-05,28.6,21.6,--,Clearing in the afternoon.
rain,2015-08-06,26.2,21.4,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-08-07,24.4,22.8,rain,Cloudy skies throughout the day with early morning rain.
rain,2015-08-08,26.3,19.7,rain,Partly cloudy throughout the day with early morning rain.
partly-cloudy-day,2015-08-09,26.4,17.4,--,Partly cloudy throughout the day.
rain,2015-08-10,23.7,27.3,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
rain,2015-08-11,26.5,23.8,rain,Partly cloudy throughout the day with a chance of rain throughout the day.
partly-cloudy-day,2015-08-12,25.6,26.9,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2015-08-13,24.4,19.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-14,24.3,16.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-15,25.1,20,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-16,26.2,21.6,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-17,27.8,20.3,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-18,27,21.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-19,27.5,23.5,--,Partly cloudy throughout the day.
rain,2015-08-20,26.4,23.8,rain,Cloudy skies throughout the day with rain.
partly-cloudy-day,2015-08-21,25.3,27.2,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-22,24,16.4,--,Partly cloudy throughout the day.
rain,2015-08-23,23.7,16.4,rain,Partly cloudy throughout the day with early morning rain.
rain,2015-08-24,25.8,29.8,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-08-25,24.9,21.1,rain,Clearing in the afternoon with morning rain.
partly-cloudy-day,2015-08-26,22.8,21.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-27,22.5,20.1,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-08-28,23.2,19.3,--,Becoming cloudy in the afternoon.
partly-cloudy-day,2015-08-29,25.2,21.7,--,Partly cloudy throughout the day.
rain,2015-08-30,25,20.8,rain,Partly cloudy throughout the day with afternoon rain.
partly-cloudy-day,2015-08-31,26.6,20,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-01,27.7,13,--,Becoming cloudy in the afternoon.
rain,2015-09-02,28.2,14.6,rain,Partly cloudy throughout the day with late afternoon rain.
rain,2015-09-03,27.7,17.1,rain,Partly cloudy throughout the day with rain.
partly-cloudy-day,2015-09-04,27.8,17.7,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-05,25.7,22.8,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-06,24.5,14,--,Partly cloudy throughout the day.
partly-cloudy-day,2015-09-07,26.1,17.4,--,Partly cloudy throughout the day.
rain,2015-09-08,27.5,19.6,rain,Becoming cloudy in the afternoon with afternoon rain.
partly-cloudy-day,2015-09-09,28.2,19.6,--,Partly cloudy throughout the day.
rain,2015-09-10,24.7,25,rain,Cloudy skies throughout the day with a chance of rain throughout the day.
